county,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio
anderson,1,81,11.6,6.9827586207,6.982758620689656
angelina,3,186,35.0,5.006072024833333,5.314285714285714
aransas,2,119,13.6,8.65584415575,8.75
atascosa,1,53,9.0,5.8888888889,5.888888888888889
austin,1,12,1.1,10.909090909,10.909090909090908
bandera,1,36,8.9,4.0449438202,4.044943820224719
bastrop,3,127,24.1,5.931064572433333,5.269709543568465
bee,2,95,21.5,4.479222400599999,4.4186046511627906
bell,15,1863,227.0,8.023427141106668,8.20704845814978
bernalillo,1,98,4.4,22.272727273,22.27272727272727
bexar,82,15682,1493.9,9.185705158385366,10.497355914050472
blanco,1,7,2.0,3.5,3.5
bowie,3,135,16.6,8.977011494266668,8.132530120481928
brazoria,16,1563,181.4,8.54002141476875,8.616317530319735
brazos,12,1059,180.5,5.7888067960416665,5.867036011080333
brewster,3,134,19.8,6.755336617366667,6.767676767676767
brown,2,60,22.9,4.47972972975,2.620087336244542
burleson,1,84,8.6,9.7674418605,9.767441860465116
burnet,3,376,44.1,6.420708955233334,8.526077097505668
caldwell,3,152,28.0,9.513888888766667,5.428571428571429
calhoun,1,109,13.1,8.320610687,8.320610687022901
cameron,14,2072,232.3,8.19347287605,8.919500645716745
cherokee,1,5,1.0,5.0,5.0
collin,68,12861,1082.7,11.905969568410294,11.878636741479633
colorado,2,231,26.0,8.6831753977,8.884615384615385
comal,11,2130,229.8,10.086551760618182,9.268929503916448
cooke,2,281,31.6,8.7908748502,8.89240506329114
coryell,1,7,1.1,6.3636363636,6.363636363636363
dallas,149,28733,3606.4,8.664596478733555,7.967224933451641
deaf smith,1,59,13.1,4.5038167939,4.5038167938931295
denton,34,5963,634.6,8.453368824211765,9.396470217459816
dewitt,1,69,8.6,8.023255814,8.023255813953488
eastland,1,9,3.1,2.9032258065,2.903225806451613
ector,5,433,36.1,10.4319444446,11.994459833795013
el paso,32,3994,428.4,9.50415933838125,9.323062558356677
ellis,5,514,59.8,7.847683890420001,8.595317725752508
erath,2,43,10.9,3.4568965517,3.944954128440367
fannin,1,11,2.0,5.5,5.5
fayette,3,236,27.200000000000003,7.6101035369,8.676470588235293
fort bend,54,3637,445.1,7.608449926331481,8.171197483711525
gaines,3,717,58.0,13.086538461666668,12.362068965517242
galveston,16,1688,186.5,7.53151641354375,9.05093833780161
gillespie,2,437,43.1,9.9654761905,10.139211136890951
gonzales,1,18,3.6,5.0,5.0
gray,1,34,5.0,6.8,6.8
grayson,4,526,58.7,9.3366845806,8.960817717206133
gregg,12,1196,155.6,7.063494291683334,7.686375321336762
guadalupe,3,260,32.0,7.2724867725,8.125
hale,1,87,16.4,5.3048780488,5.3048780487804885
hamilton,1,5,1.0,5.0,5.0
hardin,1,144,16.0,9.0,9.0
harris,232,42028,4845.3,7.922469190919397,8.67397271582771
harrison,2,215,41.5,5.75351213285,5.180722891566265
hartley,2,150,17.6,8.36842105265,8.522727272727272
hays,11,1366,109.9,11.032782271727273,12.429481346678799
henderson,1,175,19.4,9.0206185567,9.02061855670103
hidalgo,20,1574,177.9,8.473287664234999,8.847667228780214
hill,2,29,4.6,6.4423076923,6.304347826086957
hockley,1,10,1.6,6.25,6.25
hood,1,1,3.9,0.2564102564,0.25641025641025644
howard,2,87,14.4,5.972222222199999,6.041666666666666
hunt,1,223,21.4,10.420560748,10.420560747663552
jackson,1,20,5.0,4.0,4.0
jasper,1,71,6.0,11.833333333,11.833333333333334
jefferson,9,1483,162.89999999999998,9.644817571888888,9.103744628606508
jim wells,2,127,10.9,8.92397660815,11.65137614678899
johnson,10,968,88.2,11.17869168296,10.975056689342404
kaufman,3,328,45.6,5.8074494949333335,7.192982456140351
kendall,4,918,162.9,6.9251298905750005,5.635359116022099
kerr,3,220,26.3,8.285020804433334,8.365019011406844
kleberg,2,99,12.0,7.55,8.25
lamar,2,162,16.3,11.36928104575,9.938650306748466
lampasas,1,8,1.0,8.0,8.0
lavaca,3,573,58.3,9.464906783799998,9.828473413379074
lee,2,209,19.1,10.6799419901,10.94240837696335
liberty,1,22,6.0,3.6666666667,3.6666666666666665
llano,1,60,10.4,5.7692307692,5.769230769230769
lubbock,15,2505,304.5,8.0695530601,8.226600985221674
marion,2,36,9.4,4.76041666665,3.829787234042553
matagorda,1,47,10.4,4.5192307692,4.519230769230769
maverick,3,286,22.0,11.128205128333335,13.0
mclennan,11,2213,264.0,8.546903161254546,8.382575757575758
medina,2,115,12.0,5.95,9.583333333333334
midland,12,3097,304.0,20.500137296716666,10.1875
milam,2,104,9.9,10.876582278499999,10.505050505050505
montgomery,30,4130,420.9,9.779022220453333,9.812306961273462
nacogdoches,2,216,26.8,7.728009259249999,8.059701492537313
nolan,1,28,4.6,6.0869565217,6.086956521739131
nueces,20,2181,256.9,8.72327495727,8.489684702218764
ochiltree,1,15,2.0,7.5,7.5
orange,2,131,24.4,5.36954915,5.368852459016394
panola,1,35,5.6,6.25,6.25
parker,4,721,72.2,8.803499227725,9.986149584487535
polk,2,78,12.399999999999999,6.3479623824,6.290322580645162
potter,4,611,72.9,8.301415795775,8.381344307270233
randall,5,419,61.9,6.936631956559999,6.768982229402262
rockwall,7,799,108.0,6.695568535028571,7.398148148148148
rusk,1,96,21.0,4.5714285714,4.571428571428571
scurry,1,45,6.0,7.5,7.5
smith,14,3115,334.0,7.734765365564286,9.326347305389222
somervell,1,106,21.6,4.9074074074,4.907407407407407
tarrant,85,14323,1710.5,8.085999379111765,8.373574978076586
taylor,5,550,34.4,13.512517985619999,15.988372093023257
titus,1,11,2.0,5.5,5.5
tom green,7,588,99.1,7.507215185371429,5.933400605449042
travis,85,13738,1840.8,7.108204223035294,7.463059539330726
tyler,1,32,4.0,8.0,8.0
uvalde,3,169,30.3,5.316993464033334,5.577557755775578
val verde,2,225,17.9,12.5951711805,12.569832402234638
victoria,12,1968,150.7,14.434419571216667,13.059057730590578
walker,2,447,56.3,5.02321814255,7.939609236234459
waller,2,70,14.0,4.325,5.0
washington,4,337,34.5,9.50611591785,9.768115942028986
webb,9,1478,122.4,13.9833349203,12.07516339869281
wharton,3,277,56.400000000000006,4.600641666633333,4.911347517730496
wichita,2,375,43.3,8.7458799549,8.660508083140877
wilbarger,1,6,1.0,6.0,6.0
williamson,29,4013,371.9,9.833072948265517,10.790535090077979
wilson,1,49,4.0,12.25,12.25
young,1,112,15.8,7.0886075949,7.0886075949367084
zavala,1,42,6.0,7.0,7.0
